ruta,nombre,extension,tamaño_bytes,fecha_modificacion,formato_probable,plataforma_probable,prioridad,hash_sha256,id
/home/user/improved-parakeet/demo_data/exports/chatgpt_conversations.json,chatgpt_conversations.json,.json,3879,2026-05-16T14:26:14.978252,Export conversacional JSON,ChatGPT,P0,ff9e006c5b7a54e9f4952a7c955f20b64ff8c8a55ed5153ddf299cd08730f90f,FILE_0001
/home/user/improved-parakeet/demo_data/exports/gemini_conversations.json,gemini_conversations.json,.json,2509,2026-05-16T14:26:38.670251,Export conversacional JSON,Gemini,P0,1843c96f5524300b359253ded1313ca06835a0ebe197bc01ac344cbbb0603836,FILE_0002
/home/user/improved-parakeet/demo_data/exports/claude_conversations.json,claude_conversations.json,.json,2137,2026-05-16T14:26:25.858252,Export conversacional JSON,Claude,P0,19df25476e4115325179f26303f09ddf0673cbd0d7d6a2f284ce02df92d67f8b,FILE_0003
/home/user/improved-parakeet/nexus_workspace/chatgpt_reconstructed.json,chatgpt_reconstructed.json,.json,2954,2026-05-16T14:28:07.131531,Conversación ya reconstruida,ChatGPT,P2,0e04a820e6e68fe27244c6a99c4e8a7dd77ace01661e14e8360eba477c1f49b5,FILE_0004
/home/user/improved-parakeet/nexus_workspace/gemini_reconstructed.json,gemini_reconstructed.json,.json,2535,2026-05-16T14:28:07.131734,Conversación ya reconstruida,Gemini,P2,bcb1fd02e476c6ad04fa52c80ce7ec68b91c3bc3db14a5d76ca9bbd76987f9ae,FILE_0005
/home/user/improved-parakeet/nexus_workspace/claude_reconstructed.json,claude_reconstructed.json,.json,2253,2026-05-16T14:28:07.131641,Conversación ya reconstruida,Claude,P2,3fb51622d517234f6921594578accc208605898aee11afc3192656902670fd91,FILE_0006
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/has-tostringtag/tsconfig.json,tsconfig.json,.json,3611,2026-05-16T14:25:48.830252,JSON (tipo por determinar),Desconocida,P4,b772fc0e85fe374bb32302cdbc08c8854d6a679bcf7f4f7b8da28098e2979521,FILE_0007
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/es-errors/tsconfig.json,tsconfig.json,.json,3170,2026-05-16T14:25:48.782252,JSON (tipo por determinar),Desconocida,P4,539cacffe5895fcf9a9eb59e3a6a9fadbb41ba3e05339d97e3b55da34d2c85a4,FILE_0008
/home/user/improved-parakeet/claude_desktop_config_full.json,claude_desktop_config_full.json,.json,1268,2026-05-16T14:07:13.621413,JSON (tipo por determinar),Claude,P4,86f4e7d967edec43d2b7082ef4cd51972b7c12c1ed925a6ab470ba7f3a28e526,FILE_0009
/home/user/improved-parakeet/scripts/persistent/23_claude_code_setup.md,23_claude_code_setup.md,.md,604,2026-05-16T13:57:56.115722,Export textual conversacional,Claude,P4,9ae6c1acb61b695a8257e348669dec5739effd39b8ff51c72ac133affc8bfaba,FILE_0010
/home/user/improved-parakeet/claude_codespaces_config.json,claude_codespaces_config.json,.json,594,2026-05-16T13:57:56.061010,JSON (tipo por determinar),Claude,P4,984ef5b00679f368fd7c08a62b40c8281a3cfc9f9d88417bd4a7178634e7a386,FILE_0011
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/has-symbols/tsconfig.json,tsconfig.json,.json,143,2026-05-16T14:25:48.834252,JSON (tipo por determinar),Desconocida,P4,b9b19c254344aae6fec9086e109040f9a13369c0d061c9a018e9b26dfe94a1c8,FILE_0012
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/es-define-property/tsconfig.json,tsconfig.json,.json,138,2026-05-16T14:25:48.734252,JSON (tipo por determinar),Desconocida,P4,2ff433185c049374ca38887ac82b549215cd40f0090d4c350f8ee6c549fb076d,FILE_0013
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/get-proto/tsconfig.json,tsconfig.json,.json,118,2026-05-16T14:25:48.754252,JSON (tipo por determinar),Desconocida,P4,2f3c811aa59dd8b9d58e160110c7ad919cab9827c1fa89f580e328da3c573db4,FILE_0014
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/es-set-tostringtag/tsconfig.json,tsconfig.json,.json,116,2026-05-16T14:25:48.746252,JSON (tipo por determinar),Desconocida,P4,6346ee4c020f341387588479dd83740a65ab902a462b8c6b3b8bf51f032c6795,FILE_0015
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/dunder-proto/tsconfig.json,tsconfig.json,.json,116,2026-05-16T14:25:48.790252,JSON (tipo por determinar),Desconocida,P4,5c01887c6c8539144c0fc5fae6f5115073b6e26ecbeae8434a0329f46f9169c6,FILE_0016
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/gopd/tsconfig.json,tsconfig.json,.json,116,2026-05-16T14:25:48.734252,JSON (tipo por determinar),Desconocida,P4,6346ee4c020f341387588479dd83740a65ab902a462b8c6b3b8bf51f032c6795,FILE_0017
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/call-bind-apply-helpers/tsconfig.json,tsconfig.json,.json,115,2026-05-16T14:25:48.798252,JSON (tipo por determinar),Desconocida,P4,e85504b06a62ff3963fd69c1d30589c0808e5ce70c244e74efcaed46a8ea77c9,FILE_0018
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/es-object-atoms/tsconfig.json,tsconfig.json,.json,81,2026-05-16T14:25:48.758252,JSON (tipo por determinar),Desconocida,P4,3e1bd147dd14fe6bccd80797375f88d961ee0cd52871f879e90e01d1e647027d,FILE_0019
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/hasown/tsconfig.json,tsconfig.json,.json,73,2026-05-16T14:25:48.790252,JSON (tipo por determinar),Desconocida,P4,29ef530207266f2859676c048073e7f746db37a0a20e2a75bc2ef2b3893fbf40,FILE_0020
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/math-intrinsics/tsconfig.json,tsconfig.json,.json,36,2026-05-16T14:25:48.842252,JSON (tipo por determinar),Desconocida,P4,0e570d88a16e1e96c7b5ff8f4b44e50a6e7f49e5fc5e1affab9a3a8946964f80,FILE_0021
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/tr46/lib/mappingTable.json,mappingTable.json,.json,260049,2026-05-16T14:25:48.854252,JSON (tipo por determinar),Desconocida,P5,b6b39724dca9011113a08d9d6910204062b58169e98952acdfbd19bf2c31bbff,FILE_0022
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/mime-db/db.json,db.json,.json,185882,2026-05-16T14:25:48.782252,JSON (tipo por determinar),Desconocida,P5,85c8e1ba609079947c8df83c092900ab0226e1d7b60e5e7105fb7dd701833263,FILE_0023
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/form-data/CHANGELOG.md,CHANGELOG.md,.md,48300,2026-05-16T14:25:48.810252,Export textual conversacional,Desconocida,P5,1b18d44f773e95bf651ef954c1d51deec02e1885ec0528e3950fa309d9e24aaf,FILE_0024
/home/user/improved-parakeet/mcp-servers/dropbox/node_modules/iconv-lite/encodings/tables/cp936.json,cp936.json,.json,47320,2026-05-16T14:25:48.882252,JSON (tipo por determinar),Desconocida,P5,8225bb693efd380279ed7280b8f8419fd069c5f018d20d5946bf187ad92c0cf7,FILE_0025
